ids,FPS
001PD_S10_readText,30
008PD_S10_readText,30
009PD_S10_readText,30
010PD_S10_readText,10
011PD_S10_readText,30
017PD_S10_readText,15
020PD_S10_readText,15
048PD_S10_readText,30
049PD_S10_readText,15
050PD_S10_readText,30
058PD_S10_readText,14
072PD_S10_readText,10
075PD_S10_readText,30
081PD_S10_readText,30
083PD_S10_readText,10
084PD_S10_readText,30
086PD_S10_readText,30
088PD_S10_readText,30
090PD_S10_readText,15
092PD_S10_readText,30
093PD_S10_readText,10
097PD_S10_readText,10
099PD_S10_readText,30
100PD_S10_readText,30
101PD_S10_readText,7
102PD_S10_readText,30
103PD_S10_readText,30
104PD_S10_readText,30
105PD_S10_readText,15
106PD_S10_readText,30
001HC_S10_ReadText,8
002HC_S10_ReadText,30
003HC_S10_ReadText,8
004HC_S10_ReadText,8
005HC_S10_ReadText,12
006HC_S10_ReadText,30
007HC_S10_ReadText,8
008HC_S10_ReadText,12
010HC_S10_ReadText,25
011HC_S10_ReadText,15
012HC_S10_ReadText,30
013HC_S10_ReadText,12
014HC_S10_ReadText,10
015HC_S10_ReadText,30
016HC_S10_ReadText,30
017HC_S10_ReadText,30
018HC_S10_ReadText,10
019HC_S10_ReadText,10
020HC_S10_ReadText,15
021HC_S10_ReadText,30
022HC_S10_ReadText,9
023HC_S10_ReadText,30
024HC_S10_ReadText,12
